Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,"ALPEK POLYESTER USA, LLC",1004178,3216 CEDAR CREEK RD,34.98305,-78.78722,FAYETTEVILLE,CUMBERLAND COUNTY,NC,28312,"Alpek Polyester USA, LLC (100%)",35596,C
2023,ALTO COLUMBIA LLC,1007263,71335 RAIL LOOP DRIVE,45.855921,-119.656083,BOARDMAN,MORROW COUNTY,OR,97818,ALTO INGREDIENTS INC (100%),38611,"C,PP"
2023,ALTO MAGIC VALLEY LLC,1007264,2600 WASHINGTON AVENUE,42.521324,-113.815693,BURLEY,CASSIA COUNTY,ID,83318,ALTO INGREDIENTS INC (100%),44427,C
2023,AMERICAN REFINING GROUP INC,1005590,77 NORTH KENDALL AVENUE,41.965472,-78.633108,BRADFORD,MCKEAN COUNTY,PA,16701,AMERICAN REFINING GROUP INC (100%),122544,"C,MM,Y"
2023,AMERICAN SYNTHETIC RUBBER,1006919,4500 CAMPGROUND ROAD,38.209167,-85.843611,LOUISVILLE,JEFFERSON COUNTY,KY,40216,MICHELIN NORTH AMERICA INC (100%),161361,C
2023,ANHEUSER BUSCH BALDWINSVILLE BREWERY,1002576,2885 BELGIUM ROAD,43.1691,-76.3112,BALDWINSVILLE,ONONDAGA COUNTY,NY,13027,ANHEUSER-BUSCH COS LLC (100%),22488,"C,PP"
2023,ANHEUSER BUSCH INC,1006111,700 SCHROCK ROAD,40.103056,-82.993056,COLUMBUS,FRANKLIN COUNTY,OH,43229,ANHEUSER-BUSCH COS LLC (100%),29822,C
2023,ANHEUSER BUSCH INC. - L.A. BREWERY,1002867,15800 ROSCOE BOULEVARD,34.22132,-118.48044,VAN NUYS,LOS ANGELES COUNTY,CA,91406,ANHEUSER-BUSCH COS LLC (100%),29572,C
2023,ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,1003352,2351 BUSCH DRIVE,40.619722,-105.006111,FORT COLLINS,LARIMER COUNTY,CO,80524,ANHEUSER-BUSCH COS LLC (100%),35740,C
2023,ANHEUSER BUSCH LLC,1003176,7801 POCAHONTAS TRAIL,37.237518,-76.652662,WILLIAMSBURG,JAMES CITY COUNTY,VA,23185,ANHEUSER-BUSCH COS LLC (100%),29532,C
2023,ANHEUSER-BUSCH HOUSTON BREWERY,1003224,775 GELLHORN DRIVE,29.774444,-95.270833,HOUSTON,HARRIS COUNTY,TX,77029,ANHEUSER-BUSCH COS LLC (100%),34778,C
2023,ANHEUSER-BUSCH LLC,1002915,221 DANIEL WEBSTER HIGHWAY,42.822084,-71.488321,MERRIMACK,HILLSBOROUGH COUNTY,NH,3054,ANHEUSER-BUSCH COS LLC (100%),10838,"C,PP"
2023,ANHEUSER-BUSCH LLC,1006147,111 BUSCH DR.,30.432822,-81.647706,JACKSONVILLE,DUVAL COUNTY,FL,32218,ANHEUSER-BUSCH COS LLC (100%),52175,"C,PP"
2023,"ANHEUSER-BUSCH, INC. CARTERSVI LLE BREWERY",1006904,100 BUSCH DR.,34.2557,-84.7825,CARTERSVILLE,BARTOW COUNTY,GA,30120,ANHEUSER-BUSCH COS LLC (100%),18719,C
2023,"ANHEUSER-BUSCH, INC. NEWARK BREWERY",1003525,200 US HIGHWAY ONE,40.6916,-74.1916,NEWARK,ESSEX COUNTY,NJ,7114,ANHEUSER-BUSCH COS LLC (100%),20977,C
2023,"APG Polytech, LLC",1000793,27610 Huntington Road,38.663697,-82.16883,APPLE GROVE,MASON COUNTY,WV,25502,APG POLYTECH HOLDING (100%),40458,C
2023,APPVION - APPLETON PLT,1002596,825 E WISCONSIN AVE,44.2729,-88.39311,APPLETON,OUTAGAMIE COUNTY,WI,54911,M2S GROUP INTERMEDIATE HOLDINGS INC (100%),24684,C
2023,ARCHER DANIEL MIDLAND COMPANY,1002916,3000 E 8TH STREET,41.42139,-97.288612,COLUMBUS,PLATTE COUNTY,NE,68601,ARCHER DANIELS MIDLAND CO (100%),1110448,"C,II"
2023,ARCHER DANIELS MIDLAND,1001945,400 WEST ERIE ROAD,44.47056,-95.78417,MARSHALL,LYON COUNTY,MN,56258,ARCHER DANIELS MIDLAND CO (100%),165172,"C,II,PP"
2023,ARCHER DANIELS MIDLAND,1003215,2191 W CR 0 NS,40.2853,-86.5479,FRANKFORT,CLINTON COUNTY,IN,46041,ARCHER DANIELS MIDLAND CO (100%),50763,C
